Job Title,Company Name,Location,PostDate,ExtractDate,Summary
,CSM,"Charlotte, NC",Today,2022-02-02,"Based out of our Harrisburg, NC office, the Senior Accountant will deliver high-level service in supporting a variety of financial and accounting systems and…"
Senior Accountant (Remote),Colliers International,"Remote in Charlotte, NC+1 location",14 days ago,2022-02-02,This position accounts for customers who require more complex accrual or GAAP basis financial accounting with complex financial reporting requirements.
Senior Accountant,Centene Corporation,"Hybrid remote in Charlotte, NC",30+ days ago,2022-02-02,"Conduct special studies, develops, or recommends enhancements to accounting methods and procedures.Adapt accounting and recordkeeping functions to current…"
Senior Accountant (Remote),Everside Health,"Remote in Charlotte, NC",30+ days ago,2022-02-02,"This individual will support to the day-to-day financial accounting and reporting as well as accounts payable, payroll, month-end and year-end close processes."
,TIAA,"Charlotte, NC",Today,2022-02-02,Prepares timely and accurate work papers and supporting schedules to satisfy all accounting requirements for internal and external audits.
,UNC Charlotte,"Charlotte, NC 28223 (University City South area)",4 days ago,2022-02-02,"Serves as a technical resource for unique or unprecedented issues.As per General Statute 143-746: Any Internal Auditor employed by the State shall, at a…"
Senior Statutory Accountant - 100% Remote Eligible,Equitable,"Remote in Charlotte, NC",19 days ago,2022-02-02,Generally Accepted Accounting Principles (GAAP): Knowledge of the generally accepted accounting principles (GAAP); ability to apply GAAP appropriately within…
Senior Corporate Accountant,LendingTree,"Charlotte, NC",30+ days ago,2022-02-02,"Monthly responsibilities are subject to change as processes evolve and resource allocations are reset.Very strong in Excel, current with new functionalities."
Senior Accountant,Northwood Ravin,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"Record monthly depreciation and amortization schedules.Prepare monthly operating financials for Residential properties (Operating Statements, Balance Sheets,…"
,Honeywell,"Charlotte, NC 28202 (Downtown Charlotte area)+3 locations",Today,2022-02-02,"You will lead technology risk assessments, pre-audit planning and conduct independent and objective audit reviews across Honeywell's diversified organizations…"
Senior Accountant,"United Rentals, Inc.","Charlotte, NC 28217",18 days ago,2022-02-02,Act as a resource/mentor and provide training to more junior-level staff members.Create/Update instructions for current procedures/processes.
,Wells Fargo,"Charlotte, NC+2 locations",5 days ago,2022-02-02,The Hedge Accounting Team is responsible for accounting for Wells Fargo's SFAS 133/ASC 815 derivatives.Act as lead Consultant for financial accounting related…
Senior Accountant,Relation Insurance,"Charlotte, NC 28277 (Ballantyne East area)+1 location",30+ days ago,2022-02-02,Prepares schedules for year-end audit for independent external auditors.The Senior Accountant is primarily responsible for complex accounting activities…
Senior Accountant,Maya Hospitality Group Inc,"Charlotte, NC 28214 (Wildwood area)",20 days ago,2022-02-02,"Manage company credit card, utility, and extraordinary bill payments in a timely manner.Provide Aging Reports (pre-check registers) to management at designated…"
Senior Accountant,Amerit Fleet Solutions,"Charlotte, NC 28262 (University City North area)+1 location",11 days ago,2022-02-02,"Assist and participate in the monthly, quarterly and year end closing processes including certain schedules and processes for monthly and quarterly financial…"
Senior Accountant,Amerit Fleet Solutions,"Charlotte, NC 28262 (University City North area)+1 location",11 days ago,2022-02-02,"Assist and participate in the monthly, quarterly and year end closing processes including certain schedules and processes for monthly and quarterly financial…"
Senior Auditor - Remote,AMERICAN CANCER SOCIETY,"Remote in Charlotte, NC",30+ days ago,2022-02-02,"The Senior Auditor is responsible for planning, scheduling, supervising and conducting various and diverse operational and financial integrated audits, reviews…"
Senior Accountant Supply Chain,Electrolux,"Charlotte, NC",21 days ago,2022-02-02,"Strong understanding of financial reporting, accounting, planning and economics.The Senior Accountant – Supply Chain will ensure accurate and complete…"
,Wells Fargo,"Charlotte, NC+1 location",1 day ago,2022-02-02,Wells Fargo is seeking a Senior Treasury Analyst-Stress Forecasting as part of Asset-Liability Management.Be responsible for complex reporting and analytics on…
Senior Accountant,Communities In Schools of Charlotte-Mecklenburg In,"Charlotte, NC",30+ days ago,2022-02-02,"Reporting to the VP of Finance, the Senior Accountant will support agency wide accounting services and other related financial functions."
Senior Staff Accountant,River Rock Capital Partners,"Mooresville, NC 28117",30+ days ago,2022-02-02,Select invoices and print payments as needed for entities.We are looking to find candidates with financial and analytical experience who are highly motivated…
Senior Accountant,Xylem,"Charlotte, NC 28273 (Olde Whitehall area)+2 locations",22 days ago,2022-02-02,"Prepare journal entries and balance sheet reconciliations in support of month-end closing activities for multiple business units, ensuring proper documentation…"
